MetaMessage('time_signature', numerator=4, denominator=4, clocks_per_click=24, notated_32nd_notes_per_beat=8, time=0) 3500
MetaMessage('set_tempo', tempo=600000, time=0) 3500
MetaMessage('track_name', name='Elec. Piano (Classic)', time=0) 3500
note_on channel=0 note=67 velocity=50 time=0 14000.0
note_off channel=0 note=60 velocity=0 time=0.15 14150.0
note_off channel=0 note=67 velocity=0 time=0 14150.0
note_on channel=0 note=60 velocity=50 time=0.7499999999999999 14900.0
note_on channel=0 note=64 velocity=50 time=0 14900.0
note_off channel=0 note=64 velocity=0 time=0.15 15050.0
note_off channel=0 note=60 velocity=0 time=0 15050.0
note_on channel=0 note=62 velocity=50 time=0.44999999999999996 15500.0
note_off channel=0 note=62 velocity=0 time=0.15 15650.0
note_on channel=0 note=60 velocity=50 time=0.15 15800.0
note_off channel=0 note=60 velocity=0 time=0.15 15950.0
note_on channel=0 note=60 velocity=50 time=0.15 16100.0
note_off channel=0 note=60 velocity=0 time=0.15 16250.0
note_on channel=0 note=62 velocity=50 time=0.15 16400.0
note_on channel=0 note=67 velocity=50 time=0 16400.0
note_off channel=0 note=67 velocity=0 time=0.15 16550.0
note_off channel=0 note=62 velocity=0 time=0 16550.0
note_on channel=0 note=64 velocity=50 time=0.7499999999999999 17300.0
note_off channel=0 note=64 velocity=0 time=0.15 17450.0
note_on channel=0 note=62 velocity=50 time=0.44999999999999996 17900.0
note_off channel=0 note=62 velocity=0 time=0.15 18050.0
note_on channel=0 note=60 velocity=50 time=0.15 18200.0
note_off channel=0 note=60 velocity=0 time=0.15 18350.0
note_on channel=0 note=60 velocity=50 time=0.15 18500.0
note_off channel=0 note=60 velocity=0 time=0.15 18650.0
note_on channel=0 note=69 velocity=50 time=0.15 18800.0
note_on channel=0 note=64 velocity=50 time=0 18800.0
note_off channel=0 note=64 velocity=0 time=0.15 18950.0
note_off channel=0 note=69 velocity=0 time=0 18950.0
note_on channel=0 note=64 velocity=50 time=0.7499999999999999 19700.0
note_off channel=0 note=64 velocity=0 time=0.15 19850.0
note_on channel=0 note=62 velocity=50 time=0.44999999999999996 20300.0
note_off channel=0 note=62 velocity=0 time=0.15 20450.0
note_on channel=0 note=60 velocity=50 time=0.15 20600.0
note_off channel=0 note=60 velocity=0 time=0.15 20750.0
note_on channel=0 note=60 velocity=50 time=0.15 20900.0
note_off channel=0 note=60 velocity=0 time=0.15 21050.0
note_on channel=0 note=60 velocity=50 time=0.15 21200.0
note_on channel=0 note=67 velocity=50 time=0 21200.0
note_off channel=0 note=67 velocity=0 time=0.15 21350.0
note_off channel=0 note=60 velocity=0 time=0 21350.0
note_on channel=0 note=60 velocity=50 time=0.44999999999999996 21800.0
note_on channel=0 note=67 velocity=50 time=0 21800.0
note_off channel=0 note=67 velocity=0 time=0.15 21950.0
note_off channel=0 note=60 velocity=0 time=0 21950.0
note_on channel=0 note=60 velocity=50 time=0.44999999999999996 22400.0
note_on channel=0 note=67 velocity=50 time=0 22400.0
note_off channel=0 note=67 velocity=0 time=0.15 22550.0
note_off channel=0 note=60 velocity=0 time=0 22550.0
note_on channel=0 note=64 velocity=50 time=1.65 24200.0
note_on channel=0 note=67 velocity=50 time=0 24200.0
note_off channel=0 note=64 velocity=0 time=0.15 24350.0
note_off channel=0 note=67 velocity=0 time=0 24350.0
note_on channel=0 note=67 velocity=50 time=0.15 24500.0
note_on channel=0 note=64 velocity=50 time=0 24500.0
note_off channel=0 note=64 velocity=0 time=0.15 24650.0
note_off channel=0 note=67 velocity=0 time=0 24650.0
note_on channel=0 note=64 velocity=50 time=0.15 24800.0
note_on channel=0 note=67 velocity=50 time=0 24800.0
note_off channel=0 note=67 velocity=0 time=0.15 24950.0
note_off channel=0 note=64 velocity=0 time=0 24950.0
note_on channel=0 note=67 velocity=50 time=0.15 25100.0
note_on channel=0 note=64 velocity=50 time=0 25100.0
note_off channel=0 note=64 velocity=0 time=0.15 25250.0
note_off channel=0 note=67 velocity=0 time=0 25250.0
note_on channel=0 note=64 velocity=50 time=0.3 25550.0
note_off channel=0 note=64 velocity=0 time=0.15 25700.0
note_on channel=0 note=62 velocity=50 time=0.3 26000.0
note_on channel=0 note=67 velocity=50 time=0 26000.0
note_off channel=0 note=67 velocity=0 time=0.15 26150.0
note_off channel=0 note=62 velocity=0 time=0 26150.0
note_on channel=0 note=62 velocity=50 time=0.44999999999999996 26600.0
note_on channel=0 note=67 velocity=50 time=0 26600.0
note_off channel=0 note=67 velocity=0 time=0.15 26750.0
note_off channel=0 note=62 velocity=0 time=0 26750.0
note_on channel=0 note=67 velocity=50 time=0.15 26900.0
note_on channel=0 note=62 velocity=50 time=0 26900.0
note_off channel=0 note=62 velocity=0 time=0.15 27050.0
note_off channel=0 note=67 velocity=0 time=0 27050.0
note_on channel=0 note=62 velocity=50 time=0.15 27200.0
note_on channel=0 note=67 velocity=50 time=0 27200.0
note_off channel=0 note=62 velocity=0 time=0.15 27350.0
note_off channel=0 note=67 velocity=0 time=0 27350.0
note_on channel=0 note=67 velocity=50 time=0.15 27500.0
note_on channel=0 note=62 velocity=50 time=0 27500.0
note_off channel=0 note=62 velocity=0 time=0.15 27650.0
note_off channel=0 note=67 velocity=0 time=0 27650.0
note_on channel=0 note=67 velocity=50 time=0.3 27950.0
note_on channel=0 note=62 velocity=50 time=0 27950.0
note_off channel=0 note=62 velocity=0 time=0.15 28100.0
note_off channel=0 note=67 velocity=0 time=0 28100.0
note_on channel=0 note=64 velocity=50 time=0.3 28400.0
note_on channel=0 note=60 velocity=50 time=0 28400.0
note_off channel=0 note=64 velocity=0 time=0.15 28550.0
note_off channel=0 note=60 velocity=0 time=0 28550.0
note_on channel=0 note=64 velocity=50 time=0.15 28700.0
note_on channel=0 note=60 velocity=50 time=0 28700.0
note_off channel=0 note=60 velocity=0 time=0.15 28850.0
note_off channel=0 note=64 velocity=0 time=0 28850.0
note_on channel=0 note=60 velocity=50 time=0.15 29000.0
note_on channel=0 note=64 velocity=50 time=0 29000.0
note_off channel=0 note=64 velocity=0 time=0.15 29150.0
note_off channel=0 note=60 velocity=0 time=0 29150.0
note_on channel=0 note=64 velocity=50 time=0.15 29300.0
note_on channel=0 note=60 velocity=50 time=0 29300.0
note_off channel=0 note=64 velocity=0 time=0.15 29450.0
note_off channel=0 note=60 velocity=0 time=0 29450.0
note_on channel=0 note=64 velocity=50 time=0.3 29750.0
note_on channel=0 note=60 velocity=50 time=0 29750.0
note_off channel=0 note=60 velocity=0 time=0.15 29900.0
note_off channel=0 note=64 velocity=0 time=0 29900.0
note_on channel=0 note=65 velocity=50 time=0.3 30200.0
note_on channel=0 note=60 velocity=50 time=0 30200.0
note_off channel=0 note=60 velocity=0 time=0.15 30350.0
note_off channel=0 note=65 velocity=0 time=0 30350.0
note_on channel=0 note=65 velocity=50 time=0.44999999999999996 30800.0
note_on channel=0 note=60 velocity=50 time=0 30800.0
note_off channel=0 note=65 velocity=0 time=0.15 30950.0
note_off channel=0 note=60 velocity=0 time=0 30950.0
note_on channel=0 note=65 velocity=50 time=0.15 31100.0
note_on channel=0 note=60 velocity=50 time=0 31100.0
note_off channel=0 note=65 velocity=0 time=0.15 31250.0
note_off channel=0 note=60 velocity=0 time=0 31250.0
note_on channel=0 note=60 velocity=50 time=0.15 31400.0
note_on channel=0 note=65 velocity=50 time=0 31400.0
note_off channel=0 note=65 velocity=0 time=0.15 31550.0
note_off channel=0 note=60 velocity=0 time=0 31550.0
note_on channel=0 note=60 velocity=50 time=0.15 31700.0
note_on channel=0 note=65 velocity=50 time=0 31700.0
note_off channel=0 note=60 velocity=0 time=0.15 31850.0
note_off channel=0 note=65 velocity=0 time=0 31850.0
note_on channel=0 note=64 velocity=50 time=0.3 32150.0
note_on channel=0 note=60 velocity=50 time=0 32150.0
note_off channel=0 note=60 velocity=0 time=0.15 32300.0
note_off channel=0 note=64 velocity=0 time=0 32300.0
note_on channel=0 note=64 velocity=50 time=0.3 32600.0
note_on channel=0 note=60 velocity=50 time=0 32600.0
note_off channel=0 note=60 velocity=0 time=0.15 32750.0
note_off channel=0 note=64 velocity=0 time=0 32750.0
MetaMessage('end_of_track', time=0) 32750.0
key: si, c:(255, 0, 0) for 0.9s, time: 0
key: la#, c:(255, 0, 0) for 0.9s, time: 0
key: la, c:(255, 0, 0) for 0.9s, time: 0
key: sol#, c:(255, 0, 0) for 0.9s, time: 0
key: sol, c:(255, 0, 0) for 0.9s, time: 0
key: fa#, c:(255, 0, 0) for 0.9s, time: 0
key: fa, c:(255, 0, 0) for 0.9s, time: 0
key: mi, c:(255, 0, 0) for 0.9s, time: 0
key: re#, c:(255, 0, 0) for 0.9s, time: 0
key: re, c:(255, 0, 0) for 0.9s, time: 0
key: do#, c:(255, 0, 0) for 0.9s, time: 0
key: do, c:(255, 0, 0) for 0.9s, time: 0
end of si
end of la#
end of la
end of sol#
end of sol
end of fa#
end of fa
end of mi
end of re#
end of re
end of do#
end of do
key: do#, c:(255, 255, 0) for 0.9s, time: 0
key: re#, c:(255, 255, 0) for 0.9s, time: 0
key: re, c:(255, 255, 0) for 0.9s, time: 0
key: sol, c:(255, 255, 0) for 0.9s, time: 0
key: mi, c:(255, 255, 0) for 0.9s, time: 0
key: fa, c:(255, 255, 0) for 0.9s, time: 0
key: fa#, c:(255, 255, 0) for 0.9s, time: 0
key: sol#, c:(255, 255, 0) for 0.9s, time: 0
key: la, c:(255, 255, 0) for 0.9s, time: 0
key: si, c:(255, 255, 0) for 0.9s, time: 0
key: do, c:(255, 255, 0) for 0.9s, time: 0
key: la#, c:(255, 255, 0) for 0.9s, time: 0
end of do#
end of re#
end of re
end of sol
end of mi
end of fa
end of fa#
end of sol#
end of la
end of si
end of do
end of la#
key: fa#, c:(0, 255, 0) for 0.9s, time: 0
key: do, c:(0, 255, 0) for 0.9s, time: 0
key: re#, c:(0, 255, 0) for 0.9s, time: 0
key: fa, c:(0, 255, 0) for 0.9s, time: 0
key: do#, c:(0, 255, 0) for 0.9s, time: 0
key: mi, c:(0, 255, 0) for 0.9s, time: 0
key: sol#, c:(0, 255, 0) for 0.9s, time: 0
key: la, c:(0, 255, 0) for 0.9s, time: 0
key: la#, c:(0, 255, 0) for 0.9s, time: 0
key: si, c:(0, 255, 0) for 0.9s, time: 0
key: sol, c:(0, 255, 0) for 0.9s, time: 0
key: re, c:(0, 255, 0) for 0.9s, time: 0
end of fa#
end of do
end of re#
end of fa
end of do#
end of mi
end of sol#
end of la
end of la#
end of si
end of sol
end of re
key: do, c:(255, 0, 0) for 0.15s, time: 3650.0
end of do
key: do, c:(255, 0, 0) for 0.15s, time: 3950.0
end of do
key: sol, c:(255, 0, 0) for 0.15s, time: 4400.0
end of sol
key: mi, c:(255, 0, 0) for 0.15s, time: 5450.0
end of mi
key: re, c:(255, 0, 0) for 0.15s, time: 6050.0
end of re
key: do, c:(255, 0, 0) for 0.15s, time: 6350.0
end of do
key: do, c:(255, 0, 0) for 0.15s, time: 6650.0
end of do
key: sol, c:(255, 0, 0) for 0.15s, time: 6950.0
end of sol
key: mi, c:(255, 0, 0) for 0.15s, time: 7850.0
end of mi
key: re, c:(255, 0, 0) for 0.15s, time: 8450.0
end of re
key: do, c:(255, 0, 0) for 0.15s, time: 8750.0
end of do
key: do, c:(255, 0, 0) for 0.15s, time: 9050.0
end of do
key: la, c:(255, 0, 0) for 0.15s, time: 9350.0
end of la
key: mi, c:(255, 0, 0) for 0.15s, time: 10250.0
end of mi
key: re, c:(255, 0, 0) for 0.15s, time: 10850.0
end of re
key: do, c:(255, 0, 0) for 0.15s, time: 11150.0
end of do
key: do, c:(255, 0, 0) for 0.15s, time: 11450.0
end of do
key: do, c:(255, 0, 0) for 0.15s, time: 11750.0
key: fa, c:(255, 0, 0) for 0.0s, time: 11750.0
end of fa
end of do
key: fa, c:(255, 0, 0) for 0.15s, time: 12350.0
end of fa
key: fa, c:(255, 0, 0) for 0.15s, time: 12950.0
end of fa
key: do, c:(255, 0, 0) for 0.15s, time: 13550.0
end of do
key: do, c:(255, 0, 0) for 0.15s, time: 13850.0
end of do
key: sol, c:(255, 0, 0) for 0.0s, time: 14150.0
key: do, c:(255, 0, 0) for 0.15s, time: 14150.0
end of sol
end of do
key: mi, c:(255, 0, 0) for 0.15s, time: 15050.0
key: do, c:(255, 0, 0) for 0.0s, time: 15050.0
end of do
end of mi
key: re, c:(255, 0, 0) for 0.15s, time: 15650.0
end of re
key: do, c:(255, 0, 0) for 0.15s, time: 15950.0
end of do
key: do, c:(255, 0, 0) for 0.15s, time: 16250.0
end of do
key: sol, c:(255, 0, 0) for 0.15s, time: 16550.0
key: re, c:(255, 0, 0) for 0.0s, time: 16550.0
end of re
end of sol
key: mi, c:(255, 0, 0) for 0.15s, time: 17450.0
end of mi
key: re, c:(255, 0, 0) for 0.15s, time: 18050.0
end of re
key: do, c:(255, 0, 0) for 0.15s, time: 18350.0
end of do
key: do, c:(255, 0, 0) for 0.15s, time: 18650.0
end of do
key: la, c:(255, 0, 0) for 0.0s, time: 18950.0
key: mi, c:(255, 0, 0) for 0.15s, time: 18950.0
end of la
end of mi
key: mi, c:(255, 0, 0) for 0.15s, time: 19850.0
end of mi
key: re, c:(255, 0, 0) for 0.15s, time: 20450.0
end of re
key: do, c:(255, 0, 0) for 0.15s, time: 20750.0
end of do
key: do, c:(255, 0, 0) for 0.15s, time: 21050.0
end of do
key: sol, c:(255, 0, 0) for 0.15s, time: 21350.0
key: do, c:(255, 0, 0) for 0.0s, time: 21350.0
end of do
end of sol
key: do, c:(255, 0, 0) for 0.0s, time: 21950.0
key: sol, c:(255, 0, 0) for 0.15s, time: 21950.0
end of do
end of sol
key: do, c:(255, 0, 0) for 0.0s, time: 22550.0
key: sol, c:(255, 0, 0) for 0.15s, time: 22550.0
end of do
end of sol
key: sol, c:(255, 0, 0) for 0.0s, time: 24350.0
key: mi, c:(255, 0, 0) for 0.15s, time: 24350.0
end of sol
end of mi
key: sol, c:(255, 0, 0) for 0.0s, time: 24650.0
key: mi, c:(255, 0, 0) for 0.15s, time: 24650.0
end of sol
end of mi
key: sol, c:(255, 0, 0) for 0.15s, time: 24950.0
key: mi, c:(255, 0, 0) for 0.0s, time: 24950.0
end of mi
end of sol
key: sol, c:(255, 0, 0) for 0.0s, time: 25250.0
key: mi, c:(255, 0, 0) for 0.15s, time: 25250.0
end of sol
end of mi
key: mi, c:(255, 0, 0) for 0.15s, time: 25700.0
end of mi
key: sol, c:(255, 0, 0) for 0.15s, time: 26150.0
key: re, c:(255, 0, 0) for 0.0s, time: 26150.0
end of re
end of sol
key: sol, c:(255, 0, 0) for 0.15s, time: 26750.0
key: re, c:(255, 0, 0) for 0.0s, time: 26750.0
end of re
end of sol
key: re, c:(255, 0, 0) for 0.15s, time: 27050.0
key: sol, c:(255, 0, 0) for 0.0s, time: 27050.0
end of sol
end of re
key: re, c:(255, 0, 0) for 0.15s, time: 27350.0
key: sol, c:(255, 0, 0) for 0.0s, time: 27350.0
end of sol
end of re
key: re, c:(255, 0, 0) for 0.15s, time: 27650.0
key: sol, c:(255, 0, 0) for 0.0s, time: 27650.0
end of sol
end of re
key: re, c:(255, 0, 0) for 0.15s, time: 28100.0
key: sol, c:(255, 0, 0) for 0.0s, time: 28100.0
end of sol
end of re
key: mi, c:(255, 0, 0) for 0.15s, time: 28550.0
key: do, c:(255, 0, 0) for 0.0s, time: 28550.0
end of do
end of mi
key: do, c:(255, 0, 0) for 0.15s, time: 28850.0
key: mi, c:(255, 0, 0) for 0.0s, time: 28850.0
end of mi
end of do
key: mi, c:(255, 0, 0) for 0.15s, time: 29150.0
key: do, c:(255, 0, 0) for 0.0s, time: 29150.0
end of do
end of mi
key: do, c:(255, 0, 0) for 0.0s, time: 29450.0
key: mi, c:(255, 0, 0) for 0.15s, time: 29450.0
end of do
end of mi
key: do, c:(255, 0, 0) for 0.15s, time: 29900.0
key: mi, c:(255, 0, 0) for 0.0s, time: 29900.0
end of mi
end of do
key: do, c:(255, 0, 0) for 0.15s, time: 30350.0
key: fa, c:(255, 0, 0) for 0.0s, time: 30350.0
end of fa
end of do
key: fa, c:(255, 0, 0) for 0.15s, time: 30950.0
key: do, c:(255, 0, 0) for 0.0s, time: 30950.0
end of do
end of fa
key: do, c:(255, 0, 0) for 0.0s, time: 31250.0
key: fa, c:(255, 0, 0) for 0.15s, time: 31250.0
end of do
end of fa
key: fa, c:(255, 0, 0) for 0.15s, time: 31550.0
key: do, c:(255, 0, 0) for 0.0s, time: 31550.0
end of do
end of fa
key: do, c:(255, 0, 0) for 0.15s, time: 31850.0
key: fa, c:(255, 0, 0) for 0.0s, time: 31850.0
end of fa
end of do
key: mi, c:(255, 0, 0) for 0.0s, time: 32300.0
key: do, c:(255, 0, 0) for 0.15s, time: 32300.0
end of mi
end of do
key: mi, c:(255, 0, 0) for 0.0s, time: 32750.0
key: do, c:(255, 0, 0) for 0.15s, time: 32750.0
end of mi
end of do
